Vendor Product Number,Rating
99e257eb-d66d-4f94-9a03-78ee7e899df9,4
12553f5e-13a0-4e43-8306-3e8625137cff,3
6e23b916-d20e-4442-af52-6be1961ade32,5
4c46f0f8-89d2-42c5-bbe7-815c35cc3e16,4
25ee1998-83f2-4ba3-8f4b-5fa723f35df4,5
2bac038d-57ea-4901-a045-15fdf68f20f1,3
d206a54f-7aca-49af-bb78-dca3ee221772,4
b2ca17fd-826a-460c-be7c-1702236ea1d7,2
009ff4e9-0dbc-473f-a146-9829310a5098,5
01a4529e-e1a5-41ce-b9b4-fb370aa59ff7,4
ff5ba0e8-8b35-40a6-9766-ab03c4b3aece,3
bd593233-dd78-46de-98af-9c28a82799b8,4
35e3975d-5c55-4e7b-b535-c7da67572a5a,3
a3e1d512-5d9d-4b29-a204-01d64f259707,4
d9bcb4f2-877b-43d6-83a3-e582f6a96e07,5
f76b08cc-b6b0-49cc-8db0-8419a5c99c8c,4
f75ca9da-9198-4231-96d9-81d45ffec2eb,3
a6e6433b-9fe8-48d0-a5b3-dbd5e15588cf,5
20e8e05c-809e-4b2d-8b92-9c7694bbdce8,4
f529b525-ddd2-4ce1-ab64-809eca717a64,3
1a692c55-cc7a-4848-bae7-4889d65c6cb8,5
f2f5c0b1-eb9a-4644-9807-0fef566d8e23,4
9b46c0a7-8dd3-4085-a7f5-45a4b7733525,3
6280d276-949d-4404-a889-98c48e2d2295,4
7e224ff5-77f8-4c2b-93e8-d7cbc39a2cb2,3
4f0f1c32-303b-41ec-b3f6-7d9db647f77a,2
9e1b5813-b446-4111-ba32-731682ce4173,4
3d695abd-460f-4987-853b-5d4d000a5901,3
da066fe0-af84-4d11-af67-007f8e74bae7,4
326d41e5-58c5-4d9f-9bb1-0ea2687ed9ea,3
b9ebe082-0d48-4e15-8088-ef0c85a4b3f0,4
628e942a-d5ca-4134-ad77-9ef4d1a6e859,5
d4bb7963-fd8c-4b25-b5c2-cc8c1b98c974,4
ba12fbbc-98a3-4ab3-99f0-40090d0d142d,3
bb4c26f4-d38f-4a86-936d-a6715161b168,4
633b3656-0c80-4e38-84c0-dfdd84141933,3
4ffcc28d-c4e8-4e21-b6dc-35a17f673e45,4
e28ed74e-55d4-4258-a220-3d5968e06905,3
bd071247-8efe-4481-b514-420844a19356,4
dc3e00bd-07cd-4b30-9be2-024e1563d924,3
268e9430-4880-4693-8e6e-9e93a72e33e8,4
84c297b5-c517-45f1-bebe-93796282b342,5
5e8d6bf2-8ce3-4c10-a84f-64b650533dac,4
7bc0f24c-1517-4d58-833a-4bd24d36a266,3
ee311a3b-b3e3-41ba-84ec-8d742f16282c,4
32b07a1c-5d29-4db9-a30b-2eb64291d65c,3
90f06b61-4ab8-42e5-9a82-4e0fd18e3f89,4
fa86fb0d-f1a3-4efd-933d-dfabe048b5d7,3
c26273ec-b572-4381-8498-dc536bd4b1e9,4
044a6d2d-1bb6-4700-ab45-0d14d7b48e00,5
eeaba8c4-9d54-4cef-b3fc-3ca87fd3aa0a,4
da9fe1ce-f1ae-41e0-b82b-e9be0f984e1f,5
e3e5b88f-1566-4d73-b5cf-d93797561dc1,4
32464d8e-e768-4a26-aef7-29eaac865844,3
ed801a26-8d51-4841-8f69-532f36912eb0,4
0d145aab-a9ac-4421-a407-e6d643ef5368,5
83e1f876-f8e7-4c6b-a931-5e68094bdc85,4
f10c10b4-6f9a-48a7-b07b-d4a9e4608068,3
b0b61507-1f65-4646-b9a5-41a32720c4d1,4
0979d305-3e22-4cd6-95d8-87ff0f56a82b,5
197119ec-0145-47a2-994d-c27c3484af54,4
f6c5f8f0-970e-4d58-b079-910a1986296e,3
7f1957c1-60ba-46ed-9819-bae886777c02,4
a09acf3d-9193-40cb-9aea-1ad3a3b89b89,5
1a534081-fa28-493b-a6ba-a81d24c08fe8,4
6cd4c311-a2d2-4933-bc5e-ca1e3f2ff8b0,3
859c12be-59b6-437c-96ba-8bd1eb9ca93c,4
8b81e3e8-a311-48bd-93d4-74af2128c21d,3
89df153f-7548-4a77-932c-c655c485f2d0,5
dbc240bc-23ec-4efd-9946-a788f0702178,4
8421b07b-5e5c-496a-80db-db6cd60f3ff4,3
70b076a9-d923-43d7-aeae-755699f06c90,4
98c6a955-dd08-4029-a2cf-974eb6b6068e,5
01eebba4-5539-4c50-8795-8a379c47bd62,4
34d377af-438e-468b-897f-5ad329640266,3
2b85ec1c-6bbe-4aa7-8ecd-2e3e78cd437d,4
bbf5cdc7-dee7-47e8-b9b3-54c09721b74a,3
91becfa4-7bbe-40a5-badc-d6bc39b45ee4,5
b4e3db35-ae81-4b07-929a-98cdb29dba4d,4
2f3ce86f-2c02-4b43-899b-f94dd13d7d8b,3
d3446ce7-5916-4c04-92cd-8c7051e6683f,4
9b3fdca2-c2fa-4801-a84c-3416630b82ba,5
d0d4b77f-e2eb-4cde-ad1e-2e7cec1b030e,4
57993b60-1952-49c4-89aa-654cf65d4dbf,3
72e840b4-da0a-4888-8e15-c143332e9474,4
421fea6e-4692-46ec-97b3-be1ebc7e03bc,3
57fab9b4-44ab-4943-969c-5600d6279a04,4
1bb74418-1485-49a0-83c6-c3722da0459f,3
9e27d36e-43af-49ea-b013-791c6f87a2ea,5
936171cb-e828-40a9-83d8-4adb36941055,4
80020e20-cb44-43a8-8a5b-b31c26456ae7,3
36e5bac6-f7a9-44a1-bc32-29252ab59b89,4
ebb3ea82-e958-4436-8b93-b21c5460e705,5
d38acf39-489c-400a-aa22-a917bed7cf6a,4
36762a33-759a-484b-b812-2e610cfe36b1,3
6be39a73-2a92-4726-a51e-e5e91be9738f,4
106f25d2-b62f-4766-a3cf-9a7b481f0417,5
cee60dfa-b62b-43f3-be35-f13f2315f092,4
13228b9c-5170-4514-8d46-b4ce403b6bd8,3
56309cb3-c092-45c7-85b0-a3d967e3a654,4
e1df5f55-5bf9-45ba-89a5-2afac66f1246,3
20164c09-aba5-4875-bdea-00a92b9101e5,4
2aba9cef-c729-4264-8675-0db0f02196cc,5
2ff602b1-96df-4ab1-8464-8c2c544a4c1a,4
be0179e3-5cdf-454f-9169-a1b98e35a0bb,3
28cecc77-c9f6-49c2-a284-0b691f8aa057,4
94f1f40a-5810-4d03-b2b9-1866d865dc2f,5
3ebca4c3-b9a1-41d2-a7ff-ddd78956c75d,4
be1ee532-a0e3-48b0-8b1f-c36375f0d8a1,3
7f199619-eab4-4c33-9964-2fff65899b76,4
2f687488-9883-4270-8318-57107e0aee73,5
eb7aa6ed-962f-496c-aed9-33deea39576c,4
28a0c3d4-203f-4b68-ad2f-f3d26f40fcc7,3
b853f111-6135-496b-a9d6-615d1fe9a3fb,4
3df65362-eb6f-453d-90ca-605059998326,3
0c27d209-d517-4a80-84fe-c853395d0cd0,5
916141de-9e1a-4314-b6d1-2b592893453f,4
12bb4af4-1350-47a5-8e42-92d30fde22d3,3
a1f99dad-3592-403f-9746-6e5e895a1a1c,4
727d5417-9be3-4188-a292-c68017f0eda7,3
09fe5ca1-8bd4-42ce-8daf-a99935e23b1e,4
c2326f86-dc42-406c-af76-1f4e2ce5e6ee,5
936246cb-b276-4ff2-bfd9-ee2b836495ac,4
7b22d628-5bc9-4b86-aa0c-d6b5daa24d6d,3
8dd4cfcc-a509-41b6-8424-74f321dcd9b4,4
